Starting the game...
None
{'economy': 100, 'stability': 1.0, 'territory_size': 1, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 8, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 8, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 8, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 16, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 16, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 16, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 16, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.8000000000000007, 'territory_size': 16, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.9000000000000008, 'territory_size': 16, 'border_empires': 0, 'age': 0}
{'economy': 100, 'stability': 1.9000000000000008, 'territory_size': 16, 'border_empires': 1, 'age': 0}
{'economy': 100, 'stability': 1.9000000000000008, 'territory_size': 16, 'border_empires': 1, 'age': 0}
{'economy': 90, 'stability': 1.9000000000000008, 'territory_size': 23, 'border_empires': 1, 'age': 0}
{'economy': 90, 'stability': 1.9000000000000008, 'territory_size': 23, 'border_empires': 1, 'age': 0}
{'economy': 80, 'stability': 2.000000000000001, 'territory_size': 23, 'border_empires': 1, 'age': 0}
{'economy': 80, 'stability': 2.000000000000001, 'territory_size': 21, 'border_empires': 1, 'age': 0}
{'economy': 80, 'stability': 2.000000000000001, 'territory_size': 21, 'border_empires': 1, 'age': 0}
{'economy': 80, 'stability': 2.000000000000001, 'territory_size': 26, 'border_empires': 1, 'age': 0}
{'economy': 60, 'stability': 2.100000000000001, 'territory_size': 26, 'border_empires': 1, 'age': 0}
{'economy': 60, 'stability': 2.200000000000001, 'territory_size': 26, 'border_empires': 1, 'age': 0}
{'economy': 50, 'stability': 2.200000000000001, 'territory_size': 26, 'border_empires': 1, 'age': 0}
{'economy': 50, 'stability': 2.200000000000001, 'territory_size': 31, 'border_empires': 1, 'age': 0}
{'economy': 50, 'stability': 2.200000000000001, 'territory_size': 31, 'border_empires': 1, 'age': 0}
{'economy': 0, 'stability': 2.200000000000001, 'territory_size': 32, 'border_empires': 2, 'age': 0}
{'economy': 0, 'stability': 2.200000000000001, 'territory_size': 32, 'border_empires': 2, 'age': 0}
The capital of AI Empire has been captured by Empire 2 and will be partitioned!
{'economy': 0, 'stability': 2.200000000000001, 'territory_size': 32, 'border_empires': 2, 'age': 0}
{'economy': 0, 'stability': 2.200000000000001, 'territory_size': 0, 'border_empires': 0, 'age': 0}
{'economy': 0, 'stability': 2.300000000000001, 'territory_size': 0, 'border_empires': 0, 'age': 0}
{'economy': 0, 'stability': 2.300000000000001, 'territory_size': 0, 'border_empires': 0, 'age': 0}
{'economy': 0, 'stability': 2.300000000000001, 'territory_size': 0, 'border_empires': 0, 'age': 0}
{'economy': 0, 'stability': 2.4000000000000012, 'territory_size': 0, 'border_empires': 0, 'age': 0}
{'economy': 0, 'stability': 2.4000000000000012, 'territory_size': 0, 'border_empires': 0, 'age': 0}
{'economy': 0, 'stability': 2.5000000000000013, 'territory_size': 0, 'border_empires': 0, 'age': 0}
{'economy': 0, 'stability': 2.5000000000000013, 'territory_size': 0, 'border_empires': 0, 'age': 0}
{'economy': 0, 'stability': 2.5000000000000013, 'territory_size': 0, 'border_empires': 0, 'age': 0}
Game closed.
